name,category,barcode,quantity,expire_date,received_at,batch_code,unit,price,storage_duration,storage_duration_type
Творожок детский клубничный,Молочные,1000000000028,20,2025-04-27,2025-04-21,CURD-008,шт,120,10,day
Творожок детский персиковый,Молочные,1000000000029,20,2025-04-27,2025-04-21,CURD-009,шт,120,10,day
Творожок детский банановый,Молочные,1000000000030,20,2025-04-27,2025-04-21,CURD-010,шт,120,10,day
Сметана 15% фермерская,Молочные,1000000000031,25,2025-04-28,2025-04-21,CREAM-001,кг,350,14,day
Сметана 20% классическая,Молочные,1000000000032,20,2025-04-27,2025-04-21,CREAM-002,кг,380,14,day
Сметана 25% жирная,Молочные,1000000000033,15,2025-04-26,2025-04-21,CREAM-003,кг,410,14,day
Сметана 10% легкая,Молочные,1000000000034,18,2025-04-28,2025-04-21,CREAM-004,кг,320,14,day
Сметана 30% деревенская,Молочные,1000000000035,12,2025-04-25,2025-04-21,CREAM-005,кг,440,14,day
Кефир 2.5% классический,Молочные,1000000000036,30,2025-04-25,2025-04-21,KEFIR-001,л,310,10,day
Кефир 3.2% отборный,Молочные,1000000000037,25,2025-04-26,2025-04-21,KEFIR-002,л,330,10,day
Кефир 1% обезжиренный,Молочные,1000000000038,20,2025-04-27,2025-04-21,KEFIR-003,л,290,10,day
Кефир 0% диетический,Молочные,1000000000039,15,2025-04-28,2025-04-21,KEFIR-004,л,280,10,day
Кефир с лактулозой,Молочные,1000000000040,22,2025-04-26,2025-04-21,KEFIR-005,л,350,10,day
Сыр Российский 50%,Молочные,1000000000041,10,2025-05-15,2025-04-21,CHEESE-001,кг,650,30,day
Сыр Голландский 45%,Молочные,1000000000042,12,2025-05-18,2025-04-21,CHEESE-002,кг,680,30,day
Сыр Пармезан 40%,Молочные,1000000000043,7,2025-06-21,2025-04-21,CHEESE-003,кг,950,60,day
Сыр Моцарелла 45%,Молочные,1000000000044,15,2025-05-10,2025-04-21,CHEESE-004,кг,720,20,day
Сыр Фета 45%,Молочные,1000000000045,12,2025-05-12,2025-04-21,CHEESE-005,кг,780,20,day
Сыр Маасдам 45%,Молочные,1000000000046,8,2025-05-20,2025-04-21,CHEESE-006,кг,890,30,day
Сыр плавленый 40%,Молочные,1000000000047,20,2025-05-15,2025-04-21,CHEESE-007,кг,450,25,day
Сыр творожный 60%,Молочные,1000000000048,15,2025-05-05,2025-04-21,CHEESE-008,кг,620,15,day
Сыр Брынза 45%,Молочные,1000000000049,12,2025-05-08,2025-04-21,CHEESE-009,кг,580,20,day
Сыр Эдам 40%,Молочные,1000000000050,10,2025-05-25,2025-04-21,CHEESE-010,кг,750,35,day
Хлеб белый пшеничный,Хлебобулочные,2000000000001,40,2025-04-25,2025-04-21,BREAD-001,шт,120,4,day
Хлеб черный ржаной,Хлебобулочные,2000000000002,35,2025-04-26,2025-04-21,BREAD-002,шт,130,5,day
Хлеб тостовый в нарезке,Хлебобулочные,2000000000003,30,2025-04-27,2025-04-21,BREAD-003,шт,150,7,day
Хлеб бородинский,Хлебобулочные,2000000000004,25,2025-04-25,2025-04-21,BREAD-004,шт,140,5,day
Хлеб цельнозерновой,Хлебобулочные,2000000000005,20,2025-04-24,2025-04-21,BREAD-005,шт,160,4,day
Хлеб заварной ржаной,Хлебобулочные,2000000000006,28,2025-04-26,2025-04-21,BREAD-006,шт,145,5,day
Хлеб с отрубями,Хлебобулочные,2000000000007,22,2025-04-25,2025-04-21,BREAD-007,шт,155,4,day
Хлеб кукурузный,Хлебобулочные,2000000000008,18,2025-04-26,2025-04-21,BREAD-008,шт,175,5,day
Хлеб французский багет,Хлебобулочные,2000000000009,32,2025-04-23,2025-04-21,BREAD-009,шт,135,2,day
Хлеб итальянский чиабатта,Хлебобулочные,2000000000010,25,2025-04-24,2025-04-21,BREAD-010,шт,165,3,day
Батон нарезной,Хлебобулочные,2000000000011,40,2025-04-25,2025-04-21,BATON-001,шт,110,4,day
Батон с изюмом,Хлебобулочные,2000000000012,25,2025-04-24,2025-04-21,BATON-002,шт,140,3,day
Батон молочный,Хлебобулочные,2000000000013,30,2025-04-25,2025-04-21,BATON-003,шт,125,4,day
Батон с отрубями,Хлебобулочные,2000000000014,20,2025-04-24,2025-04-21,BATON-004,шт,145,3,day
Батон французский,Хлебобулочные,2000000000015,28,2025-04-23,2025-04-21,BATON-005,шт,155,2,day
Булочка сдобная,Хлебобулочные,2000000000016,45,2025-04-25,2025-04-21,BUN-001,шт,50,5,day
Булочка с маком,Хлебобулочные,2000000000017,40,2025-04-24,2025-04-21,BUN-002,шт,55,4,day
Булочка с корицей,Хлебобулочные,2000000000018,35,2025-04-24,2025-04-21,BUN-003,шт,60,4,day
Булочка с шоколадом,Хлебобулочные,2000000000019,30,2025-04-25,2025-04-21,BUN-004,шт,65,5,day
Булочка с вишней,Хлебобулочные,2000000000020,25,2025-04-24,2025-04-21,BUN-005,шт,70,4,day
Пирожок с яблоком,Хлебобулочные,2000000000021,40,2025-04-23,2025-04-21,PIE-001,шт,80,2,day
Пирожок с вишней,Хлебобулочные,2000000000022,35,2025-04-23,2025-04-21,PIE-002,шт,85,2,day
Пирожок с капустой,Хлебобулочные,2000000000023,38,2025-04-23,2025-04-21,PIE-003,шт,75,2,day
Пирожок с картошкой,Хлебобулочные,2000000000024,40,2025-04-23,2025-04-21,PIE-004,шт,75,2,day
Пирожок с мясом,Хлебобулочные,2000000000025,30,2025-04-23,2025-04-21,PIE-005,шт,95,2,day
Лаваш армянский,Хлебобулочные,2000000000026,25,2025-04-26,2025-04-21,LAV-001,шт,130,5,day
Лаваш грузинский,Хлебобулочные,2000000000027,20,2025-04-25,2025-04-21,LAV-002,шт,140,4,day
Лепешка узбекская,Хлебобулочные,2000000000028,22,2025-04-26,2025-04-21,LAV-003,шт,120,5,day
Матнакаш,Хлебобулочные,2000000000029,18,2025-04-24,2025-04-21,LAV-004,шт,150,3,day
Пита греческая,Хлебобулочные,2000000000030,20,2025-04-25,2025-04-21,LAV-005,шт,135,4,day
Говядина вырезка охлажденная,Мясо,3000000000001,15,2025-04-28,2025-04-21,BEEF-001,кг,2800,7,day
Говядина тушеная охлажденная,Мясо,3000000000002,18,2025-04-27,2025-04-21,BEEF-002,кг,1800,6,day
Говядина фарш охлажденный,Мясо,3000000000003,20,2025-04-26,2025-04-21,BEEF-003,кг,1600,5,day
Говядина ребра охлажденные,Мясо,3000000000004,12,2025-04-29,2025-04-21,BEEF-004,кг,1500,8,day
Говядина лопатка охлажденная,Мясо,3000000000005,14,2025-04-28,2025-04-21,BEEF-005,кг,1700,7,day
Свинина вырезка охлажденная,Мясо,3000000000006,18,2025-04-27,2025-04-21,PORK-001,кг,1850,6,day
Свинина шейка охлажденная,Мясо,3000000000007,15,2025-04-28,2025-04-21,PORK-002,кг,1750,7,day
Свинина фарш охлажденный,Мясо,3000000000008,22,2025-04-26,2025-04-21,PORK-003,кг,1350,5,day
Свинина ребра охлажденные,Мясо,3000000000009,14,2025-04-29,2025-04-21,PORK-004,кг,1250,8,day
Свинина корейка охлажденная,Мясо,3000000000010,16,2025-04-28,2025-04-21,PORK-005,кг,1650,7,day
Курица тушка охлажденная,Мясо,3000000000011,25,2025-04-26,2025-04-21,CHICK-001,кг,850,5,day
Курица филе грудки охлажденное,Мясо,3000000000012,30,2025-04-25,2025-04-21,CHICK-002,кг,1050,4,day
Курица бедро охлажденное,Мясо,3000000000013,28,2025-04-26,2025-04-21,CHICK-003,кг,950,5,day
Курица голень охлажденная,Мясо,3000000000014,26,2025-04-27,2025-04-21,CHICK-004,кг,920,6,day
Курица крылья охлажденные,Мясо,3000000000015,24,2025-04-26,2025-04-21,CHICK-005,кг,750,5,day
Утка тушка охлажденная,Мясо,3000000000016,10,2025-04-28,2025-04-21,DUCK-001,кг,1250,7,day
Гусь тушка охлажденная,Мясо,3000000000017,8,2025-04-29,2025-04-21,DUCK-002,кг,1350,8,day
Индейка тушка охлажденная,Мясо,3000000000018,12,2025-04-27,2025-04-21,TURKEY-001,кг,1150,6,day
Индейка филе грудки охлажденное,Мясо,3000000000019,18,2025-04-26,2025-04-21,TURKEY-002,кг,1350,5,day
Индейка голень охлажденная,Мясо,3000000000020,15,2025-04-27,2025-04-21,TURKEY-003,кг,1050,6,day
Кролик тушка охлажденная,Мясо,3000000000021,10,2025-04-28,2025-04-21,RABBIT-001,кг,1650,7,day
Баранина лопатка охлажденная,Мясо,3000000000022,12,2025-04-29,2025-04-21,LAMB-001,кг,1950,8,day
Баранина корейка охлажденная,Мясо,3000000000023,10,2025-04-28,2025-04-21,LAMB-002,кг,2150,7,day
Баранина окорок охлажденный,Мясо,3000000000024,8,2025-04-29,2025-04-21,LAMB-003,кг,1850,8,day
Субпродукты говяжьи печень,Мясо,3000000000025,15,2025-04-26,2025-04-21,OFFAL-001,кг,950,5,day
Субпродукты говяжьи сердце,Мясо,3000000000026,12,2025-04-27,2025-04-21,OFFAL-002,кг,850,6,day
Субпродукты говяжьи язык,Мясо,3000000000027,10,2025-04-28,2025-04-21,OFFAL-003,кг,1250,7,day
Субпродукты свиные печень,Мясо,3000000000028,14,2025-04-26,2025-04-21,OFFAL-004,кг,750,5,day
Колбаса вареная Докторская,Мясо,3000000000029,25,2025-05-10,2025-04-21,SAUSAGE-001,кг,850,20,day
Колбаса вареная Молочная,Мясо,3000000000030,22,2025-05-12,2025-04-21,SAUSAGE-002,кг,820,22,day
Колбаса полукопченая Краковская,Мясо,3000000000031,18,2025-05-15,2025-04-21,SAUSAGE-003,кг,920,25,day
Колбаса сырокопченая Салями,Мясо,3000000000032,15,2025-05-25,2025-04-21,SAUSAGE-004,кг,1350,35,day
Колбаса сырокопченая Сервелат,Мясо,3000000000033,16,2025-05-20,2025-04-21,SAUSAGE-005,кг,1250,30,day
Сосиски Молочные,Мясо,3000000000034,28,2025-05-01,2025-04-21,SAUSAGE-006,кг,750,10,day
Сосиски Сливочные,Мясо,3000000000035,25,2025-05-02,2025-04-21,SAUSAGE-007,кг,780,12,day
Сардельки Говяжьи,Мясо,3000000000036,22,2025-05-05,2025-04-21,SAUSAGE-008,кг,820,15,day
Сардельки Свиные,Мясо,3000000000037,20,2025-05-04,2025-04-21,SAUSAGE-009,кг,800,14,day
Ветчина в оболочке,Мясо,3000000000038,15,2025-05-15,2025-04-21,SAUSAGE-010,кг,950,25,day
Форель свежая охлажденная,Рыба,3100000000001,12,2025-04-25,2025-04-21,FISH-001,кг,1750,4,day
Семга свежая охлажденная,Рыба,3100000000002,10,2025-04-26,2025-04-21,FISH-002,кг,2150,5,day
Дорада свежая охлажденная,Рыба,3100000000003,8,2025-04-24,2025-04-21,FISH-003,кг,1650,3,day
Сибас свежий охлажденный,Рыба,3100000000004,8,2025-04-24,2025-04-21,FISH-004,кг,1650,3,day
Карп свежий охлажденный,Рыба,3100000000005,15,2025-04-25,2025-04-21,FISH-005,кг,950,4,day
Щука свежая охлажденная,Рыба,3100000000006,12,2025-04-24,2025-04-21,FISH-006,кг,850,3,day
Судак свежий охлажденный,Рыба,3100000000007,10,2025-04-25,2025-04-21,FISH-007,кг,1050,4,day
Треска свежая охлажденная,Рыба,3100000000008,14,2025-04-26,2025-04-21,FISH-008,кг,1250,5,day
Минтай свежий охлажденный,Рыба,3100000000009,18,2025-04-25,2025-04-21,FISH-009,кг,950,4,day
Окунь морской свежий охлажденный,Рыба,3100000000010,12,2025-04-24,2025-04-21,FISH-010,кг,1150,3,day
Креветки свежие охлажденные,Морепродукты,3100000000011,8,2025-04-25,2025-04-21,SEAFOOD-001,кг,1850,4,day
Кальмар свежий охлажденный,Морепродукты,3100000000012,12,2025-04-26,2025-04-21,SEAFOOD-002,кг,1250,5,day
Мидии свежие охлажденные,Морепродукты,3100000000013,6,2025-04-24,2025-04-21,SEAFOOD-003,кг,1450,3,day
Осьминог свежий охлажденный,Морепродукты,3100000000014,4,2025-04-25,2025-04-21,SEAFOOD-004,кг,2250,4,day
Гребешки свежие охлажденные,Морепродукты,3100000000015,5,2025-04-23,2025-04-21,SEAFOOD-005,кг,2450,2,day
Соль поваренная мелкая,Бакалея,4000000000001,60,2027-04-21,2025-04-21,SALT-001,кг,180,36,month
Соль морская крупная,Бакалея,4000000000002,40,2027-04-21,2025-04-21,SALT-002,кг,250,36,month
Соль гималайская розовая,Бакалея,4000000000003,25,2027-04-21,2025-04-21,SALT-003,кг,350,36,month
Сахар белый песок,Бакалея,4000000000004,80,2026-04-21,2025-04-21,SUGAR-001,кг,280,12,month
Сахар тростниковый,Бакалея,4000000000005,50,2026-04-21,2025-04-21,SUGAR-002,кг,380,12,month
Мука пшеничная высший сорт,Бакалея,4000000000006,40,2025-10-21,2025-04-21,FLOUR-001,кг,210,6,month
Мука ржаная,Бакалея,4000000000007,30,2025-10-21,2025-04-21,FLOUR-002,кг,190,6,month
Мука кукурузная,Бакалея,4000000000008,25,2025-10-21,2025-04-21,FLOUR-003,кг,230,6,month
Мука цельнозерновая,Бакалея,4000000000009,20,2025-10-21,2025-04-21,FLOUR-004,кг,250,6,month
Крупа гречневая,Бакалея,4000000000010,35,2026-04-21,2025-04-21,GROATS-001,кг,320,12,month
Крупа рисовая,Бакалея,4000000000011,40,2026-04-21,2025-04-21,GROATS-002,кг,290,12,month
Крупа пшено,Бакалея,4000000000012,30,2026-04-21,2025-04-21,GROATS-003,кг,250,12,month
Крупа перловая,Бакалея,4000000000013,25,2026-04-21,2025-04-21,GROATS-004,кг,240,12,month
Крупа манная,Бакалея,4000000000014,35,2026-04-21,2025-04-21,GROATS-005,кг,260,12,month
Макароны спагетти,Бакалея,4000000000015,45,2026-04-21,2025-04-21,PASTA-001,кг,260,12,month
Макароны вермишель,Бакалея,4000000000016,40,2026-04-21,2025-04-21,PASTA-002,кг,250,12,month
Макароны рожки,Бакалея,4000000000017,50,2026-04-21,2025-04-21,PASTA-003,кг,240,12,month
Макароны перья,Бакалея,4000000000018,45,2026-04-21,2025-04-21,PASTA-004,кг,245,12,month
Макароны спирали,Бакалея,4000000000019,40,2026-04-21,2025-04-21,PASTA-005,кг,255,12,month
Масло подсолнечное,Бакалея,4000000000020,30,2025-10-21,2025-04-21,OIL-001,л,320,6,month
Масло оливковое,Бакалея,4000000000021,20,2025-10-21,2025-04-21,OIL-002,л,850,6,month
Масло кукурузное,Бакалея,4000000000022,15,2025-10-21,2025-04-21,OIL-003,л,350,6,month
Масло кунжутное,Бакалея,4000000000023,10,2025-10-21,2025-04-21,OIL-004,л,920,6,month
Масло льняное,Бакалея,4000000000024,12,2025-07-21,2025-04-21,OIL-005,л,780,3,month
Чай черный листовой,Бакалея,4000000000025,25,2026-04-21,2025-04-21,TEA-001,кг,850,12,month
Чай зеленый листовой,Бакалея,4000000000026,22,2026-04-21,2025-04-21,TEA-002,кг,950,12,month
Чай фруктовый,Бакалея,4000000000027,18,2026-04-21,2025-04-21,TEA-003,кг,750,12,month
Чай травяной,Бакалея,4000000000028,15,2026-04-21,2025-04-21,TEA-004,кг,680,12,month
Кофе зерновой арабика,Бакалея,4000000000029,20,2025-10-21,2025-04-21,COFFEE-001,кг,1250,6,month
Кофе зерновой робуста,Бакалея,4000000000030,15,2025-10-21,2025-04-21,COFFEE-002,кг,1150,6,month
Кофе молотый,Бакалея,4000000000031,25,2025-10-21,2025-04-21,COFFEE-003,кг,1350,6,month
Кофе растворимый,Бакалея,4000000000032,30,2026-04-21,2025-04-21,COFFEE-004,кг,1450,12,month
Кофе в капсулах,Бакалея,4000000000033,18,2026-04-21,2025-04-21,COFFEE-005,уп,750,12,month
Стиральный порошок Автомат,Бытовая химия,5000000000001,20,2026-10-21,2025-04-21,POWDER-001,кг,980,3,year
Стиральный порошок Ручная стирка,Бытовая химия,5000000000002,15,2026-10-21,2025-04-21,POWDER-002,кг,850,3,year
Стиральный гель концентрат,Бытовая химия,5000000000003,25,2026-10-21,2025-04-21,POWDER-003,л,1250,3,year
Стиральные капсулы,Бытовая химия,5000000000004,18,2026-10-21,2025-04-21,POWDER-004,уп,1450,3,year
Кондиционер для белья Свежесть,Бытовая химия,5000000000005,22,2026-10-21,2025-04-21,SOFTENER-001,л,750,3,year
Кондиционер для белья Нежность,Бытовая химия,5000000000006,20,2026-10-21,2025-04-21,SOFTENER-002,л,780,3,year
Отбеливатель Хлорный,Бытовая химия,5000000000007,15,2026-10-21,2025-04-21,BLEACH-001,л,450,3,year
Отбеливатель Кислородный,Бытовая химия,5000000000008,18,2026-10-21,2025-04-21,BLEACH-002,кг,650,3,year
Пятновыводитель универсальный,Бытовая химия,5000000000009,12,2026-10-21,2025-04-21,CLEANER-001,л,580,3,year
Средство для мытья посуды Лимон,Бытовая химия,5000000000010,30,2026-10-21,2025-04-21,DISH-001,л,450,3,year
Средство для мытья посуды Яблоко,Бытовая химия,5000000000011,28,2026-10-21,2025-04-21,DISH-002,л,470,3,year
Средство для мытья стекол,Бытовая химия,5000000000012,22,2026-10-21,2025-04-21,GLASS-001,л,480,3,year
Средство для чистки ванны,Бытовая химия,5000000000013,18,2026-10-21,2025-04-21,BATH-001,л,550,3,year
Средство для чистки туалета,Бытовая химия,5000000000014,20,2026-10-21,2025-04-21,TOILET-001,л,540,3,year
Мыло хозяйственное,Бытовая химия,5000000000015,40,2027-04-21,2025-04-21,SOAP-001,шт,85,4,year
Мыло туалетное,Бытовая химия,5000000000016,50,2027-04-21,2025-04-21,SOAP-002,шт,120,4,year
Шампунь универсальный,Бытовая химия,5000000000017,35,2027-04-21,2025-04-21,SHAMPOO-001,л,650,4,year
Гель для душа нейтральный,Бытовая химия,5000000000018,30,2027-04-21,2025-04-21,SHOWER-001,л,680,4,year
Зубная паста отбеливающая,Бытовая химия,5000000000019,45,2027-04-21,2025-04-21,TOOTH-001,шт,350,4,year
Туалетная бумага 2-слойная,Бытовая химия,5000000000020,60,2027-04-21,2025-04-21,PAPER-001,уп,450,4,year
Холодный чай Ai Tea черный клубника,Напитки,4870085004882,24,2025-07-21,2025-04-21,AITEA-001,л,355,90,day
Pepsi газированный напиток кола 1 л,Напитки,4870001570071,24,2025-07-31,2025-05-02,PEPSI-001,л,578,90,day
Coca Cola газированный напиток 2 л,Напитки,4870001570072,20,2025-07-25,2025-04-21,COLA-002,л,620,90,day
Sprite газированный напиток 1 л,Напитки,4870001570073,18,2025-07-20,2025-04-21,SPRITE-001,л,540,90,day
Fanta газированный напиток 1 л,Напитки,4870001570074,18,2025-07-22,2025-04-21,FANTA-001,л,540,90,day
Schweppes тоник 1 л,Напитки,4870001570075,12,2025-07-15,2025-04-21,SCHW-001,л,580,90,day
Red Bull энергетический напиток 0.25 л,Напитки,4870001570076,30,2025-07-10,2025-04-21,REDBULL-001,шт,350,90,day
Monster энергетический напиток 0.5 л,Напитки,4870001570077,25,2025-07-12,2025-04-21,MONSTER-001,шт,420,90,day
Burn энергетический напиток 0.5 л,Напитки,4870001570078,25,2025-07-14,2025-04-21,BURN-001,шт,410,90,day
Adrenaline Rush энергетический напиток 0.5 л,Напитки,4870001570079,22,2025-07-11,2025-04-21,ADRENALIN-001,шт,380,90,day
Lit Energy Peach Mango 0.45 л,Напитки,4680232930670,15,2025-08-30,2025-05-02,LITE-001,шт,550,90,day
Bonaqua минеральная вода негаз. 1 л,Напитки,4680232930671,40,2025-09-15,2025-04-21,BONAQUA-001,л,190,150,day
Borjomi минеральная вода газ. 0.5 л,Напитки,4680232930672,36,2025-09-10,2025-04-21,BORJOMI-001,л,280,150,day
Perrier минеральная вода газ. 0.33 л,Напитки,4680232930673,24,2025-09-20,2025-04-21,PERRIER-001,л,350,150,day
Evian минеральная вода негаз. 0.5 л,Напитки,4680232930674,30,2025-09-25,2025-04-21,EVIAN-001,л,320,150,day
Сок апельсиновый Я 1 л,Напитки,4680232930675,20,2025-08-15,2025-04-21,JUICE-001,л,420,120,day
Сок яблочный Добрый 1 л,Напитки,4680232930676,22,2025-08-10,2025-04-21,JUICE-002,л,380,120,day
Сок вишневый Rich 1 л,Напитки,4680232930677,18,2025-08-20,2025-04-21,JUICE-003,л,450,120,day
Сок гранатовый Grante 1 л,Напитки,4680232930678,12,2025-08-12,2025-04-21,JUICE-004,л,650,120,day
Морс клюквенный Чудо-Ягода 1 л,Напитки,4680232930679,15,2025-08-05,2025-04-21,JUICE-005,л,380,110,day
